,Rank,Participant,Result,Event,Year
7205,G,United States of America,3.52.05,4x100m-medley-relay-women,2012
7206,S,Australia,3.54.02,4x100m-medley-relay-women,2012
7207,B,Japan,3.55.73,4x100m-medley-relay-women,2012
7208,4.,Russian Federation,3.56.03,4x100m-medley-relay-women,2012
7209,5.,People's Republic of China,3.56.41,4x100m-medley-relay-women,2012
7210,6.,Netherlands,3.57.28,4x100m-medley-relay-women,2012
7211,7.,Denmark,3.57.76,4x100m-medley-relay-women,2012
7212,8.,Great Britain,3.59.46,4x100m-medley-relay-women,2012
7213,1.0,Australia,3.55.42,4x100m-medley-relay-women,2012
7214,2.0,Japan,3.57.87,4x100m-medley-relay-women,2012
7215,3.0,Denmark,3.58.35,4x100m-medley-relay-women,2012
7216,4.0,United States of America,3.58.88,4x100m-medley-relay-women,2012
7217,5.0,Netherlands,3.59.19,4x100m-medley-relay-women,2012
7218,6.0,Great Britain,3.59.37,4x100m-medley-relay-women,2012
7219,7.0,People's Republic of China,3.59.38,4x100m-medley-relay-women,2012
7220,8.0,Russian Federation,3.59.57,4x100m-medley-relay-women,2012
7221,9.0,Germany,3.59.95,4x100m-medley-relay-women,2012
7222,10.0,Sweden,4.00.76,4x100m-medley-relay-women,2012
7223,11.0,Italy,4.02.20,4x100m-medley-relay-women,2012
7224,12.0,Canada,4.02.71,4x100m-medley-relay-women,2012
7225,13.0,Spain,4.03.05,4x100m-medley-relay-women,2012
7226,14.0,France,4.05.53,4x100m-medley-relay-women,2012
7227,15.0,Iceland,4.07.09,4x100m-medley-relay-women,2012
7228,G,Ranomi KROMOWIDJOJO  NED,24.05,50m-freestyle-women,2012
7229,S,Aliaksandra HERASIMENIA  BLR,24.28,50m-freestyle-women,2012
7230,B,Marleen VELDHUIS  NED,24.39,50m-freestyle-women,2012
7231,4.,Britta STEFFEN  GER,24.46,50m-freestyle-women,2012
7232,5.,Francesca HALSALL  GBR,24.47,50m-freestyle-women,2012
7233,6.,Therese ALSHAMMAR  SWE,24.61,50m-freestyle-women,2012
7234,7.,Jessica HARDY  USA,24.62,50m-freestyle-women,2012
7235,8.,Arianna VANDERPOOL-WALLACE  BAH,24.69,50m-freestyle-women,2012
7236,1.0,Ranomi KROMOWIDJOJO  NED,24.07,50m-freestyle-women,2012
7237,2.0,Aliaksandra HERASIMENIA  BLR,24.45,50m-freestyle-women,2012
7238,3.0,Marleen VELDHUIS  NED,24.5,50m-freestyle-women,2012
7239,4.0,Britta STEFFEN  GER,24.57,50m-freestyle-women,2012
7240,5.0,Francesca HALSALL  GBR,24.63,50m-freestyle-women,2012
7241,6.0,Arianna VANDERPOOL-WALLACE  BAH,24.64,50m-freestyle-women,2012
7242,7.0,Jessica HARDY  USA,24.68,50m-freestyle-women,2012
7243,8.0,Therese ALSHAMMAR  SWE,24.71,50m-freestyle-women,2012
7244,9.0,Amy SMITH  GBR,24.87,50m-freestyle-women,2012
7245,10.0,Bronte CAMPBELL  AUS,24.94,50m-freestyle-women,2012
7246,10.0,Anna SANTAMANS  FRA,24.94,50m-freestyle-women,2012
7247,12.0,Jeanette OTTESEN  DEN,24.99,50m-freestyle-women,2012
7248,13.0,Cate CAMPBELL  AUS,25.01,50m-freestyle-women,2012
7249,14.0,Sarah SJOSTROM  SWE,25.08,50m-freestyle-women,2012
7250,15.0,Victoria POON  CAN,25.17,50m-freestyle-women,2012
7251,16.0,Theodora DRAKOU  GRE,25.28,50m-freestyle-women,2012
7252,1.,Ranomi KROMOWIDJOJO  NED,24.51,50m-freestyle-women,2012
7253,2.,Marleen VELDHUIS  NED,24.57,50m-freestyle-women,2012
7254,3.,Francesca HALSALL  GBR,24.61,50m-freestyle-women,2012
7255,4.,Britta STEFFEN  GER,24.70,50m-freestyle-women,2012
7256,5.,Aliaksandra HERASIMENIA  BLR,24.76,50m-freestyle-women,2012
7257,6.,Therese ALSHAMMAR  SWE,24.77,50m-freestyle-women,2012
7258,7.,Jeanette OTTESEN  DEN,24.85,50m-freestyle-women,2012
7259,7.,Arianna VANDERPOOL-WALLACE  BAH,24.85,50m-freestyle-women,2012
7260,9.,Bronte CAMPBELL  AUS,24.87,50m-freestyle-women,2012
7261,10.,Cate CAMPBELL  AUS,24.94,50m-freestyle-women,2012
7262,10.,Sarah SJOSTROM  SWE,24.94,50m-freestyle-women,2012
7263,12.,Jessica HARDY  USA,24.99,50m-freestyle-women,2012
7264,13.,Theodora DRAKOU  GRE,25.13,50m-freestyle-women,2012
7265,14.,Victoria POON  CAN,25.15,50m-freestyle-women,2012
7266,15.,Anna SANTAMANS  FRA,25.23,50m-freestyle-women,2012
7267,16.,Amy SMITH  GBR,25.28,50m-freestyle-women,2012
7268,16.,Kara Lynn JOYCE  USA,25.28,50m-freestyle-women,2012
7269,16.,Sarah Blake BATEMAN  ISL,25.28,50m-freestyle-women,2012
7270,19.,Triin ALJAND  EST,25.33,50m-freestyle-women,2012
7271,20.,Sviatlana KHAKHLOVA  BLR,25.36,50m-freestyle-women,2012
7274,21.,Nery Mantey NIANGKOUARA  GRE,25.40,50m-freestyle-women,2012
7275,22.,Graciele HERRMANN  BRA,25.44,50m-freestyle-women,2012
7276,23.,Hayley PALMER  NZL,25.47,50m-freestyle-women,2012
7277,24.,Pernille BLUME  DEN,25.54,50m-freestyle-women,2012
7278,24.,Qianwei ZHU  CHN,25.54,50m-freestyle-women,2012
7279,26.,Ruta MEILUTYTE  LTU,25.55,50m-freestyle-women,2012
7280,26.,Hanna-Maria SEPPALA  FIN,25.55,50m-freestyle-women,2012
7281,28.,Arlene SEMECO ARISMENDI  VEN,25.56,50m-freestyle-women,2012
7282,29.,Vanessa GARCIA  PUR,25.58,50m-freestyle-women,2012
7283,30.,Anna DOWGIERT  POL,25.59,50m-freestyle-women,2012
7284,31.,Jolien SYSMANS  BEL,25.60,50m-freestyle-women,2012
7285,32.,Erika FERRAIOLI  ITA,25.69,50m-freestyle-women,2012
7286,33.,Darya STEPANYUK  UKR,25.70,50m-freestyle-women,2012
7287,34.,Burcu DOLUNAY  TUR,25.72,50m-freestyle-women,2012
7288,35.,Yayoi MATSUMOTO  JPN,25.73,50m-freestyle-women,2012
7289,36.,Trudi MAREE  RSA,25.78,50m-freestyle-women,2012
7290,37.,Alia ATKINSON  JAM,25.98,50m-freestyle-women,2012
7291,38.,Miroslava SYLLABOVA  SVK,26.07,50m-freestyle-women,2012
7292,39.,Gabriela NIKITINA  LAT,26.26,50m-freestyle-women,2012
7293,40.,Chinyere PIGOT  SUR,26.30,50m-freestyle-women,2012
7294,41.,Farida OSMAN  EGY,26.34,50m-freestyle-women,2012
7295,42.,Miroslava NAJDANOVSKI  SRB,26.46,50m-freestyle-women,2012
7296,43.,Nicola MUSCAT  MLT,27.22,50m-freestyle-women,2012
7297,44.,Jessica Teixeira VIEIRA  MOZ,27.39,50m-freestyle-women,2012
7298,45.,Talita BAQLAH  JOR,27.45,50m-freestyle-women,2012
7299,46.,Joyce TAFATATHA  MAW,27.74,50m-freestyle-women,2012
7300,47.,Judith MEAURI  PNG,27.84,50m-freestyle-women,2012
7301,48.,Faye SULTAN  KUW,27.92,50m-freestyle-women,2012
7302,49.,Ann-Marie HEPLER  MHL,28.06,50m-freestyle-women,2012
7303,50.,Keesha KEANE  PLW,28.25,50m-freestyle-women,2012
7304,51.,Sabine HAZBOUN  PLE,28.28,50m-freestyle-women,2012
7305,52.,Jamila LUNKUSE  UGA,28.44,50m-freestyle-women,2012
7306,53.,Antoinette Joyce GUEDIA MOUAFO  CMR,29.28,50m-freestyle-women,2012
7307,54.,Celeste BROWN  COK,29.36,50m-freestyle-women,2012
7308,55.,Karin OREILLY CLASHING  ANT,30.01,50m-freestyle-women,2012
7309,56.,Debra DANIEL  FSM,30.32,50m-freestyle-women,2012
7310,57.,Vitiny HEMTHON  CAM,30.44,50m-freestyle-women,2012
7311,58.,Alphonsine AGAHOZO  RWA,30.72,50m-freestyle-women,2012
7312,59.,Nada Mohammed W S ARAKJI  QAT,30.89,50m-freestyle-women,2012
7313,60.,Katerina IZMAYLOVA  TJK,31.27,50m-freestyle-women,2012
7314,61.,Mariana HENRIQUES  ANG,31.36,50m-freestyle-women,2012
7315,62.,Fatoumata SAMASSEKOU  MLI,31.88,50m-freestyle-women,2012
7316,63.,Angelika OUEDRAOGO  BUR,32.19,50m-freestyle-women,2012
7317,64.,Aminath SHAJAN  MDV,32.23,50m-freestyle-women,2012
7318,65.,Yanet Seyoum GEBREMEDHIN  ETH,32.41,50m-freestyle-women,2012
7319,66.,Assita TOURE  CIV,33.09,50m-freestyle-women,2012
7320,67.,Elsie UWAMAHORO  BDI,33.14,50m-freestyle-women,2012
7321,68.,Sara ALFLAIJ  BRN,33.81,50m-freestyle-women,2012
7322,69.,Aminata ABOUBAKAR YACOUB  CGO,34.64,50m-freestyle-women,2012
7323,70.,Mhasin FADLALLA  SUD,35.07,50m-freestyle-women,2012
7324,71.,Nafissatou MOUSSA ADAMOU  NIG,37.29,50m-freestyle-women,2012
7325,72.,Adzo KPOSSI  TOG,37.55,50m-freestyle-women,2012
7326,73.,Masempe THEKO  LES,42.35,50m-freestyle-women,2012
7327,21.0,Nery Mantey NIANGKOUARA  GRE,25.4,50m-freestyle-women,2012
7328,22.0,Graciele HERRMANN  BRA,25.44,50m-freestyle-women,2012
7329,23.0,Hayley PALMER  NZL,25.47,50m-freestyle-women,2012
7330,24.0,Pernille BLUME  DEN,25.54,50m-freestyle-women,2012
7331,24.0,Qianwei ZHU  CHN,25.54,50m-freestyle-women,2012
7332,26.0,Ruta MEILUTYTE  LTU,25.55,50m-freestyle-women,2012
7333,26.0,Hanna-Maria SEPPALA  FIN,25.55,50m-freestyle-women,2012
7334,28.0,Arlene SEMECO ARISMENDI  VEN,25.56,50m-freestyle-women,2012
7335,29.0,Vanessa GARCIA  PUR,25.58,50m-freestyle-women,2012
7336,30.0,Anna DOWGIERT  POL,25.59,50m-freestyle-women,2012
7337,31.0,Jolien SYSMANS  BEL,25.6,50m-freestyle-women,2012
7338,32.0,Erika FERRAIOLI  ITA,25.69,50m-freestyle-women,2012
7339,33.0,Darya STEPANYUK  UKR,25.7,50m-freestyle-women,2012
7340,34.0,Burcu DOLUNAY  TUR,25.72,50m-freestyle-women,2012
7341,35.0,Yayoi MATSUMOTO  JPN,25.73,50m-freestyle-women,2012
7342,36.0,Trudi MAREE  RSA,25.78,50m-freestyle-women,2012
7343,37.0,Alia ATKINSON  JAM,25.98,50m-freestyle-women,2012
7344,38.0,Miroslava SYLLABOVA  SVK,26.07,50m-freestyle-women,2012
7345,39.0,Gabriela NIKITINA  LAT,26.26,50m-freestyle-women,2012
7346,40.0,Chinyere PIGOT  SUR,26.3,50m-freestyle-women,2012
7347,41.0,Farida OSMAN  EGY,26.34,50m-freestyle-women,2012
7348,42.0,Miroslava NAJDANOVSKI  SRB,26.46,50m-freestyle-women,2012
7349,43.0,Nicola MUSCAT  MLT,27.22,50m-freestyle-women,2012
7350,44.0,Jessica Teixeira VIEIRA  MOZ,27.39,50m-freestyle-women,2012
7351,45.0,Talita BAQLAH  JOR,27.45,50m-freestyle-women,2012
7352,46.0,Joyce TAFATATHA  MAW,27.74,50m-freestyle-women,2012
7353,47.0,Judith MEAURI  PNG,27.84,50m-freestyle-women,2012
7354,48.0,Faye SULTAN  KUW,27.92,50m-freestyle-women,2012
7355,49.0,Ann-Marie HEPLER  MHL,28.06,50m-freestyle-women,2012
7356,50.0,Keesha KEANE  PLW,28.25,50m-freestyle-women,2012
7357,51.0,Sabine HAZBOUN  PLE,28.28,50m-freestyle-women,2012
7358,52.0,Jamila LUNKUSE  UGA,28.44,50m-freestyle-women,2012
7359,53.0,Antoinette Joyce GUEDIA MOUAFO  CMR,29.28,50m-freestyle-women,2012
7360,54.0,Celeste BROWN  COK,29.36,50m-freestyle-women,2012
7361,55.0,Karin OREILLY CLASHING  ANT,30.01,50m-freestyle-women,2012
7362,56.0,Debra DANIEL  FSM,30.32,50m-freestyle-women,2012
7363,57.0,Vitiny HEMTHON  CAM,30.44,50m-freestyle-women,2012
7364,58.0,Alphonsine AGAHOZO  RWA,30.72,50m-freestyle-women,2012
7365,59.0,Nada Mohammed W S ARAKJI  QAT,30.89,50m-freestyle-women,2012
7366,60.0,Katerina IZMAYLOVA  TJK,31.27,50m-freestyle-women,2012
7367,61.0,Mariana HENRIQUES  ANG,31.36,50m-freestyle-women,2012
7368,62.0,Fatoumata SAMASSEKOU  MLI,31.88,50m-freestyle-women,2012
7369,63.0,Angelika OUEDRAOGO  BUR,32.19,50m-freestyle-women,2012
7370,64.0,Aminath SHAJAN  MDV,32.23,50m-freestyle-women,2012
7371,65.0,Yanet Seyoum GEBREMEDHIN  ETH,32.41,50m-freestyle-women,2012
7372,66.0,Assita TOURE  CIV,33.09,50m-freestyle-women,2012
7373,67.0,Elsie UWAMAHORO  BDI,33.14,50m-freestyle-women,2012
7374,68.0,Sara ALFLAIJ  BRN,33.81,50m-freestyle-women,2012
7375,69.0,Aminata ABOUBAKAR YACOUB  CGO,34.64,50m-freestyle-women,2012
7376,70.0,Mhasin FADLALLA  SUD,35.07,50m-freestyle-women,2012
7377,71.0,Nafissatou MOUSSA ADAMOU  NIG,37.29,50m-freestyle-women,2012
7378,72.0,Adzo KPOSSI  TOG,37.55,50m-freestyle-women,2012
7379,73.0,Masempe THEKO  LES,42.35,50m-freestyle-women,2012
7380,G,Yannick AGNEL  FRA,1.43.14,200m-freestyle-men,2012
7381,S,Yang SUN  CHN,1.44.93,200m-freestyle-men,2012
7382,S,Tae-hwan PARK  KOR,1.44.93,200m-freestyle-men,2012
7383,4.,Ryan LOCHTE  USA,1.45.04,200m-freestyle-men,2012
7384,5.,Paul BIEDERMANN  GER,1.45.53,200m-freestyle-men,2012
